鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
大園區,房地(土地+建物),桃園市大園區拔子林二路１７巷２之１號十三樓,5.27,住,,,1121124,土地1建物1車位0,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101116,59.66,1,1,1,有,有,5940000,99564,,0.0,0,,RPRNMLPJKHJGFEH28DA,29.79,1.57,2.46,有,
八德區,房地(土地+建物)+車位,桃園市八德區仁德路２１５號二樓,32.43,住,,,1121102,土地1建物1車位1,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040930,159.14,3,2,2,有,有,14000000,87973,坡道平面,27.54,0,,RPQNMLNJJHJGFFH97DA,77.48,4.16,9.72,有,212
平鎮區,房地(土地+建物)+車位,桃園市平鎮區民族路二段２３巷４０號十一樓,11.66,商,,,1121108,土地1建物1車位1,十一層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030807,186.82999999999998,3,2,2,有,有,15800000,84569,坡道平面,26.82,0,,RPRNMLLJKHJGFGH08DA,99.3,0.0,12.77,有,213
龜山區,房地(土地+建物)+車位,桃園市龜山區大湖一路１３２號二樓之３,52.8,住,,,1121128,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1050202,181.31,3,2,2,有,有,15550000,85765,坡道平面,35.07,0,其他增建；,RPQNMLPKJHJGFHH48DA,86.88,0.0,14.0,有,214
龜山區,房地(土地+建物),桃園市龜山區文學路２４５號十四樓之１,23.35,住,,,1121105,土地1建物1車位0,十四層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041113,165.0,4,2,2,有,有,15000000,90909,,0.0,0,,RPQNMLQKJHJGFHH58DA,107.48,0.0,9.12,有,
龜山區,土地,興華段751地號,373.0,住,,,1121106,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,54272000,145501,,0.0,0,,RPRNMLQJKHJGFHH68DA,0.0,0.0,0.0,無,
桃園區,房地(土地+建物)+車位,桃園市桃園區力行路７１３號四樓,17.71,住,,,1121108,土地1建物1車位1,四層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110422,130.63,2,1,1,有,有,9600000,81750,坡道平面,36.44,1900000,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLQJKHJGFAH48EA,52.15,6.11,4.26,有,215
中壢區,房地(土地+建物)+車位,桃園市中壢區中北路二段２３５號九樓,54.9,商,,,1121107,土地1建物1車位2,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971106,450.18000000000006,4,2,4,有,有,32000000,71083,坡道平面,0.0,0,,RPROMLQLKIIGFBH38DA,245.75,5.01,20.96,有,
觀音區,房地(土地+建物)+車位,桃園市觀音區福興街２５８號三樓,20.88,住,,,1121104,土地2建物1車位1,三層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101012,115.47999999999999,3,2,2,有,有,7380000,63907,坡道平面,32.91,0,,RPPNMLRJKHJGFBH97DA,53.36,0.0,3.22,有,216
龍潭區,房地(土地+建物)+車位,桃園市龍潭區百年路２９號五樓之一,31.7,,鄉村區,乙種建築用地,1121121,土地2建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860130,132.49,3,2,2,有,有,7300000,55098,坡道平面,0.0,0,,RPQNMLMLJIIGFCH77DA,77.3,0.32,11.71,有,
新屋區,土地,下田心子段赤牛欄小段1221-1地號,841.0,,特定農業區,農牧用地,1121110,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6500000,7729,,0.0,0,,RPPNMLOKKHJGFDH97DA,0.0,0.0,0.0,無,217
蘆竹區,房地(土地+建物),桃園市蘆竹區大竹路４４９巷３弄６號,61.06,住,,,1121127,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0700201,87.93,5,2,3,有,無,13350000,151825,,0.0,0,增建頂樓、防火巷,RPTNMLQJKHJGFEH58DA,87.93,0.0,0.0,無,
八德區,房地(土地+建物)+車位,桃園市八德區金和路３２號十四樓,15.68,商,,,1121129,土地1建物1車位2,十四層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050412,200.01,3,2,2,有,有,22920000,114594,坡道平面,0.0,0,,RPQNMLRKJHJGFFH48DA,96.03,7.98,10.28,有,218
平鎮區,土地,賦北段637-25地號,738.68,農,,,1121107,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,9608350,13007,,0.0,0,,RPXNMLOLJHJGFGH09DA,0.0,0.0,0.0,無,
平鎮區,土地,六和段842-1地號,145.57,都市：其他:道路用地,,,1121130,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,864712,5940,,0.0,0,包含公共設施保留地用地；,RPVNMLLJKHJGFGH48DA,0.0,0.0,0.0,無,
龜山區,房地(土地+建物)+車位,桃園市龜山區樂善三路１０９號十八樓,10.91,住,,,1121124,土地1建物1車位1,十八層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110928,107.77,3,2,1,有,有,11100000,102997,坡道平面,29.14,0,,RPQNMLTKKIIGFHH98DA,46.99,0.0,4.59,有,219
