鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
新莊區,房地(土地+建物),民安西路229巷1~30號,12.22,都市：其他:住宅區,,,1091006,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700407,34.71,4,1,1,有,無,2200000,63382,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPWWMLQKIIPFFBF17DA,30.22,0.0,4.5,無
新莊區,房地(土地+建物)+車位,信華六街1~30號,14.36,都市：其他:第三種住宅區。,,,1090916,土地2建物1車位1,十五層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020503,107.33000000000001,1,1,1,有,有,9300000,86649,坡道平面,0.0,0,,RPQONLQKIIPFFBF48DA,44.14,0.0,3.56,有
新莊區,房地(土地+建物),信華六街1~30號,20.27,都市：其他:第三種住宅區。,,,1090918,土地2建物1車位0,七層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020812,105.64999999999999,2,2,1,有,有,11800000,111690,,0.0,0,,RPSVMLPKIIPFFBF56DA,63.82,2.85,5.79,有
新莊區,房地(土地+建物),中正路871~900號,5.6,都市：其他:住宅區,,,1090719,土地1建物1車位0,十三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870701,56.49,3,2,1,有,有,6800000,120375,,0.0,0,,RPWUMLQKIIPFFBF96DA,36.81,1.01,4.31,有
林口區,房地(土地+建物)+車位,中北二街31~60號,37.13,都市：其他:第二種住宅區,,,1090610,土地1建物1車位1,三層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090924,147.94,3,2,2,有,有,10250000,72631,坡道平面,30.91,1750000,預售屋、或土地及建物分次登記案件;,RPPNMLTKIIPFFBF48DA,72.06,0.0,6.39,有
林口區,房地(土地+建物)+車位,中北二街31~60號,37.13,都市：其他:第二種住宅區,,,1081107,土地1建物1車位1,七層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090924,147.94,3,2,2,有,有,10130000,71606,坡道平面,30.91,1750000,預售屋、或土地及建物分次登記案件;,RPQNMLTKIIPFFBF58DA,72.06,0.0,6.39,有
林口區,房地(土地+建物)+車位,中北二街31~60號,23.99,都市：其他:第二種住宅區,,,1081107,土地1建物1車位1,三層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090924,106.33000000000001,2,2,1,有,有,7050000,71599,坡道平面,30.91,1650000,預售屋、或土地及建物分次登記案件;,RPRNMLTKIIPFFBF68DA,47.48,0.0,3.22,有
林口區,房地(土地+建物)+車位,中北二街31~60號,23.99,都市：其他:第二種住宅區,,,1081107,土地1建物1車位1,五層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090924,106.33000000000001,2,2,1,有,有,7100000,72262,坡道平面,30.91,1650000,預售屋、或土地及建物分次登記案件;,RPSNMLTKIIPFFBF78DA,47.48,0.0,3.22,有
林口區,房地(土地+建物),中北二街31~60號,23.99,都市：其他:第二種住宅區,,,1090116,土地1建物1車位0,八層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090924,75.42,2,2,1,有,有,5930000,78626,,0.0,0,預售屋、或土地及建物分次登記案件;,RPTNMLTKIIPFFBF88DA,47.48,0.0,3.22,有
林口區,房地(土地+建物)+車位,中北二街31~60號,36.5,都市：其他:第二種住宅區,,,1090805,土地1建物1車位1,二層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090924,145.55,3,2,2,有,有,9900000,71092,坡道平面,30.91,1750000,預售屋、或土地及建物分次登記案件;,RPUNMLTKIIPFFBF98DA,70.63,0.0,6.39,有
林口區,房地(土地+建物)+車位,中北二街31~60號,36.29,都市：其他:第二種住宅區,,,1081212,土地1建物1車位1,四層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090924,145.03,3,2,2,有,有,10000000,73169,坡道平面,30.91,1650000,預售屋、或土地及建物分次登記案件;,RPVNMLTKIIPFFBF09DA,70.19,0.0,6.39,有
